name,region,sub-region,
Australia,Oceania,Australia and New Zealand,
Christmas Island,Oceania,Australia and New Zealand,
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
Heard Island and McDonald Islands,Oceania,Australia and New Zealand,
New Zealand,Oceania,Australia and New Zealand,
Norfolk Island,Oceania,Australia and New Zealand,
Kazakhstan,Asia,Central Asia,
Kyrgyzstan,Asia,Central Asia,
Tajikistan,Asia,Central Asia,
Turkmenistan,Asia,Central Asia,
Uzbekistan,Asia,Central Asia,
China,Asia,Eastern Asia,
Hong Kong,Asia,Eastern Asia,
Japan,Asia,Eastern Asia,
Korea (Democratic People's Republic of),Asia,Eastern Asia,
"Korea, Republic of",Asia,Eastern Asia,
Macao,Asia,Eastern Asia,
Mongolia,Asia,Eastern Asia,
"Taiwan, Province of China",Asia,Eastern Asia,
Belarus,Europe,Eastern Europe,
Bulgaria,Europe,Eastern Europe,
Czechia,Europe,Eastern Europe,
Hungary,Europe,Eastern Europe,
"Moldova, Republic of",Europe,Eastern Europe,
Poland,Europe,Eastern Europe,
Romania,Europe,Eastern Europe,
Russian Federation,Europe,Eastern Europe,
Slovakia,Europe,Eastern Europe,
Ukraine,Europe,Eastern Europe,
Bolivia (Plurinational State of),South and Central America and the Caribbean,South and Central America and the Caribbean,
"Bonaire, Sint Eustatius and Saba",South and Central America and the Caribbean,South and Central America and the Caribbean,
Bouvet Island,South and Central America and the Caribbean,South and Central America and the Caribbean,
Brazil,South and Central America and the Caribbean,South and Central America and the Caribbean,
Cayman Islands,South and Central America and the Caribbean,South and Central America and the Caribbean,
Chile,South and Central America and the Caribbean,South and Central America and the Caribbean,
Colombia,South and Central America and the Caribbean,South and Central America and the Caribbean,
Costa Rica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Cuba,South and Central America and the Caribbean,South and Central America and the Caribbean,
Curaçao,South and Central America and the Caribbean,South and Central America and the Caribbean,
Dominica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Dominican Republic,South and Central America and the Caribbean,South and Central America and the Caribbean,
Ecuador,South and Central America and the Caribbean,South and Central America and the Caribbean,
El Salvador,South and Central America and the Caribbean,South and Central America and the Caribbean,
Falkland Islands (Malvinas),South and Central America and the Caribbean,South and Central America and the Caribbean,
French Guiana,South and Central America and the Caribbean,South and Central America and the Caribbean,
Grenada,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guadeloupe,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guatemala,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guyana,South and Central America and the Caribbean,South and Central America and the Caribbean,
Haiti,South and Central America and the Caribbean,South and Central America and the Caribbean,
Honduras,South and Central America and the Caribbean,South and Central America and the Caribbean,
Jamaica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Martinique,South and Central America and the Caribbean,South and Central America and the Caribbean,
Mexico,South and Central America and the Caribbean,South and Central America and the Caribbean,
